transition 0,J_ground 0,F1 0,F 0,transition 1,J_ground 1,F1 1,F 1,Ωl0,Ωl1,phase1,ω0,ω1,φ1,ton0,toff0,ton1,toff1,photons
Q,1,0.5,0.0,Q,1,0.5,1.0,0.644297880103718,0.18139696400800326,0.0,1.0069171587274433,0.4566352920192472,3.9065046424384695,23.352958835841267,40.0,24.31317608426966,22.35993347862977,86.46338061261602
Q,3,3.5,3.0,Q,3,3.5,4.0,0.2042495127098447,1.9147957120533499,2.8162721317562296,1.3433783581637615,1.542188980356667,0.0,20.534001051079972,0.0,31.52758417151629,1.2547061786630023,24.786149902163977
Q,3,2.5,2.0,Q,3,3.5,4.0,0.015972681071276015,1.9147957120533499,1.1778131889607255,1.2521343735825627,1.1517419397630932,0.9647902407280486,31.172418691308323,0.0,40.0,16.73308606885288,23.61385988580344
Q,3,2.5,2.0,Q,3,3.5,3.0,0.020607706094230013,0.10393821115534736,0.0,1.8276562075069316,0.5858678209304297,0.0,25.08909174358379,20.832267030743104,28.44877153777849,40.0,22.56958500620835
R,0,1.5,1.0,P,2,1.5,1.0,0.3516533983536692,0.5500309626417307,1.5412587234558321,0.4972126668408153,1.1743339881558301,0.0,31.832833166522107,0.0,28.124482121534044,0.0,13.296433692175452
R,1,1.5,2.0,P,3,1.5,2.0,0.4013303106017898,0.020974804141602178,0.0,0.6856707404194123,1.207888136235271,0.0,36.31900300514677,40.0,25.409995388943877,0.0,66.19208480483216
R,0,0.5,1.0,P,2,0.5,1.0,0.9423261774470699,0.007146662849376073,0.0,0.4459187123701413,0.5698497341251804,0.0,17.637213392316944,0.0,16.949377136865806,7.659892403761973,39.5469641437323
R,1,1.5,1.0,P,3,1.5,1.0,0.04037623998681622,0.47540497685182626,0.0,0.8346457938864937,0.5314416759676847,4.804049844336997,2.3962751989431887,6.439887205513905,31.53617134092485,28.43917200902732,13.044474507930415
R,1,2.5,2.0,P,3,2.5,2.0,0.2829686851871294,0.6870223922985311,1.4692093259970007,0.9637142548204637,0.5576000976128728,6.283185307179586,37.80532781743395,0.0,21.37778336657678,40.0,28.166711027101893
R,1,2.5,3.0,P,3,2.5,3.0,1.23318732460002,0.7338316358695046,0.6147090072066215,0.6013198208327742,1.060882239204794,3.1268292125571406,40.0,0.0,40.0,18.364237036410202,86.64905131276404
R,0,1.5,2.0,P,2,1.5,2.0,1.3657938462527186,0.5689486912226076,1.2744349495897056,0.762097044476192,1.2505595928812432,6.283185307179586,37.38350878543357,0.0,32.751878164870995,14.26837531293851,67.90675426840198
