transition 0,J_ground 0,F1 0,F 0,transition 1,J_ground 1,F1 1,F 1,Ωl0,Ωl1,phase1,ω0,ω1,φ1,ton0,ton1,toff0,toff1,photons
Q,1,0.5,0.0,Q,1,0.5,1.0,0.6010192445823035,0.18371076813435605,2.467260622363791,0.9174378719292228,0.4468657806035476,0.7618294284384874,6.426479787399209,4.220030653638485,0.8953759215357392,1.6754441192602707,86.52546572934068
Q,3,3.5,3.0,Q,3,3.5,4.0,0.20424928728502964,1.9147742336640903,0.2468331607600805,1.4169426749312573,1.418038668897965,4.792559420024317,2.0039872567863473,4.9450431699418225,14.67732437145126,1.8324828889866416,25.023482657490987
Q,3,2.5,2.0,Q,3,3.5,4.0,0.008226993645093874,1.9142073362278698,2.3053750992056776,0.31598610574123037,1.2855201911622842,1.8484073697589818,14.944347508310567,39.968034986763506,35.17234149574121,6.993205623537197,23.697875748472658
Q,3,2.5,2.0,Q,3,3.5,3.0,0.005712278286587269,0.09065883946957791,0.29033164569789593,0.12895561785063736,0.48836798787888586,3.1120589021338216,1.4026084468865732,8.8194222225037,5.079562836240054,0.8105787757995988,22.5271810660095
R,0,1.5,1.0,P,2,1.5,1.0,0.23212898171974078,0.49555096420603617,0.5670394615952954,0.4238004199109545,0.8547577072351175,6.209230469355353,16.526977511929424,11.142165759988405,1.7354649554574486,3.7148922409840064,12.951830380815641
R,1,1.5,2.0,P,3,1.5,2.0,0.39437209503838877,0.020974803706665407,0.015561361255007497,0.6180700532701952,1.2364725174269098,3.8667066183216683,2.7038270952735233,14.843572040435415,1.3543769555387004,7.073173826151491,64.64435103209775
R,0,0.5,1.0,P,2,0.5,1.0,0.669821277696737,0.005741157013199663,1.2025200773631934,0.4829524898912408,0.4840194132881131,0.5240728928292875,3.2198666837108245,6.649991274339758,1.5768777077311755,1.0724301331171053,41.05190673005576
R,1,1.5,1.0,P,3,1.5,1.0,0.03726352939995051,0.4741010695917135,0.771789443595498,0.7037768649421897,0.4367761814832438,5.604327829175579,19.38744165079909,22.263550042733478,7.57275448727753,1.4568174668920453,12.61300634961114
R,1,2.5,2.0,P,3,2.5,2.0,0.2456859569785601,0.6867273118670807,0.916050868336467,0.8317974864837574,0.4055252422739798,0.610569025991421,13.170524330207531,7.041429395746592,4.134681317020324,2.719802784967587,28.781537008846104
R,1,2.5,3.0,P,3,2.5,3.0,1.2756045843639663,0.7330924348374149,1.6280224578329403,0.6212767554865217,1.0629668065324502,0.28136671503637,3.375082084212617,14.083001850881054,17.378678300759137,0.37494355562652987,86.0741429398314
R,0,1.5,2.0,P,2,1.5,2.0,1.3638416895145276,0.5576527494616395,0.3360291878479917,0.5602969237041148,1.2844374458884045,1.452563053837519,0.45811352089020907,9.925815623919691,2.1247581797330914,7.469557311269604,67.95586796759042
